,round,date,time,Home Team,Away Team,h2h_home_wins,h2h_away_wins,h2h_draws,matches_won_tot_home,matches_loss_tot_home,avg_goal_conceded_home,mean_points_per_match_home,mean_shots_home,mean_shots_on_target_home,mean_fouls_home,mean_yellow_cards_home,home_win_ratio_home,matches_won_tot_away,matches_loss_tot_away,avg_goal_conceded_away,mean_points_per_match_away,mean_shots_away,mean_shots_on_target_away,mean_fouls_away,mean_yellow_cards_away,away_win_ratio
245,Matchday 25,2025-02-23,,Vallecano,Villarreal,3,3,2,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.625,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888
246,Matchday 25,2025-02-23,,Real Madrid,Girona,2,1,1,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778
247,Matchday 25,2025-02-23,,Sociedad,Leganes,2,0,2,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444
248,Matchday 25,2025-02-23,,Las Palmas,Barcelona,0,3,1,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.0909090909090908
249,Matchday 25,2025-02-23,,Alaves,Espanol,3,1,1,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.5,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444
250,Matchday 26,2025-03-02,,Ath Madrid,Ath Bilbao,11,0,2,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.1111111111111112
251,Matchday 26,2025-03-02,,Betis,Real Madrid,2,7,3,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333
252,Matchday 26,2025-03-02,,Osasuna,Valencia,2,4,3,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.6,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.2222222222222222
253,Matchday 26,2025-03-02,,Leganes,Getafe,0,2,1,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.375
254,Matchday 26,2025-03-02,,Barcelona,Sociedad,12,1,0,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.5,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778
255,Matchday 26,2025-03-02,,Girona,Celta,3,1,0,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.875
256,Matchday 26,2025-03-02,,Vallecano,Sevilla,1,4,4,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.625,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666
257,Matchday 26,2025-03-02,,Mallorca,Alaves,2,0,1,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,0.9,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.4
258,Matchday 26,2025-03-02,,Valladolid,Las Palmas,0,0,0,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666
259,Matchday 26,2025-03-02,,Villarreal,Espanol,5,2,3,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444
260,Matchday 27,2025-03-09,,Ath Bilbao,Mallorca,5,0,1,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.0,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,1.0
261,Matchday 27,2025-03-09,,Betis,Las Palmas,4,0,0,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666
262,Matchday 27,2025-03-09,,Celta,Leganes,2,1,1,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.7,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444
263,Matchday 27,2025-03-09,,Alaves,Villarreal,4,2,1,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.5,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888
264,Matchday 27,2025-03-09,,Barcelona,Osasuna,8,1,0,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.5,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.75
265,Matchday 27,2025-03-09,,Getafe,Ath Madrid,1,9,2,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.3,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333
266,Matchday 27,2025-03-09,,Valencia,Valladolid,4,0,2,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.25,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333
267,Matchday 27,2025-03-09,,Real Madrid,Vallecano,8,0,1,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.5
268,Matchday 27,2025-03-09,,Sociedad,Sevilla,7,2,4,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666
269,Matchday 27,2025-03-09,,Espanol,Girona,0,2,1,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778
270,Matchday 28,2025-03-16,,Ath Madrid,Barcelona,2,8,3,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.0909090909090908
271,Matchday 28,2025-03-16,,Osasuna,Getafe,3,1,4,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.6,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.375
272,Matchday 28,2025-03-16,,Leganes,Betis,3,0,1,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666
273,Matchday 28,2025-03-16,,Girona,Valencia,2,2,0,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.2222222222222222
274,Matchday 28,2025-03-16,,Sevilla,Ath Bilbao,7,3,3,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.1111111111111112
275,Matchday 28,2025-03-16,,Villarreal,Real Madrid,2,2,8,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333
276,Matchday 28,2025-03-16,,Vallecano,Sociedad,2,3,4,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.625,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778
277,Matchday 28,2025-03-16,,Valladolid,Celta,3,1,2,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.875
278,Matchday 28,2025-03-16,,Las Palmas,Alaves,0,1,2,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.4
279,Matchday 28,2025-03-16,,Mallorca,Espanol,4,0,1,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,0.9,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444
280,Matchday 29,2025-03-30,,Ath Bilbao,Osasuna,4,1,4,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.0,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.75
281,Matchday 29,2025-03-30,,Betis,Sevilla,1,4,7,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666
282,Matchday 29,2025-03-30,,Celta,Las Palmas,3,0,1,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.7,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666
283,Matchday 29,2025-03-30,,Alaves,Vallecano,2,1,0,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.5,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.5
284,Matchday 29,2025-03-30,,Barcelona,Girona,1,1,2,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.5,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778
285,Matchday 29,2025-03-30,,Getafe,Villarreal,2,4,5,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.3,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888
286,Matchday 29,2025-03-30,,Valencia,Mallorca,2,1,3,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.25,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,1.0
287,Matchday 29,2025-03-30,,Real Madrid,Leganes,4,0,0,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444
288,Matchday 29,2025-03-30,,Sociedad,Valladolid,4,2,0,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333
289,Matchday 29,2025-03-30,,Espanol,Ath Madrid,4,4,3,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333
290,Matchday 30,2025-04-06,,Leganes,Osasuna,1,1,0,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.75
291,Matchday 30,2025-04-06,,Barcelona,Betis,10,2,0,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.5,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666
292,Matchday 30,2025-04-06,,Girona,Alaves,1,1,1,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.4
293,Matchday 30,2025-04-06,,Sevilla,Ath Madrid,4,5,4,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333
294,Matchday 30,2025-04-06,,Villarreal,Ath Bilbao,4,2,6,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.1111111111111112
295,Matchday 30,2025-04-06,,Mallorca,Celta,3,0,2,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,0.9,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.875
296,Matchday 30,2025-04-06,,Real Madrid,Valencia,8,0,5,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.2222222222222222
297,Matchday 30,2025-04-06,,Valladolid,Getafe,3,0,3,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.375
298,Matchday 30,2025-04-06,,Las Palmas,Sociedad,1,2,1,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778
299,Matchday 30,2025-04-06,,Vallecano,Espanol,3,4,1,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.625,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444
300,Matchday 31,2025-04-13,,Ath Bilbao,Vallecano,6,2,1,10,3,17,1.894736842105263,11.736842105263158,4.052631578947368,13.473684210526315,2.0526315789473686,1.0,5,6,21,1.2222222222222223,12.833333333333334,3.5555555555555554,14.222222222222221,2.611111111111111,0.5
301,Matchday 31,2025-04-13,,Ath Madrid,Valladolid,6,0,0,12,1,12,2.2777777777777777,11.833333333333334,4.833333333333333,10.722222222222221,2.1666666666666665,1.3333333333333333,3,12,37,0.6666666666666666,8.277777777777779,2.3333333333333335,12.777777777777779,2.9444444444444446,0.3333333333333333
302,Matchday 31,2025-04-13,,Betis,Villarreal,5,4,2,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666,8,4,30,1.6666666666666667,14.166666666666666,4.777777777777778,12.0,3.0555555555555554,0.8888888888888888
303,Matchday 31,2025-04-13,,Osasuna,Girona,1,1,0,6,5,27,1.3888888888888888,9.777777777777779,3.2777777777777777,13.38888888888889,2.2777777777777777,0.6,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778
304,Matchday 31,2025-04-13,,Leganes,Barcelona,1,3,0,4,8,28,1.0,7.555555555555555,2.6666666666666665,13.38888888888889,2.1666666666666665,0.4444444444444444,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.0909090909090908
305,Matchday 31,2025-04-13,,Alaves,Real Madrid,1,6,0,4,9,30,0.9444444444444444,10.722222222222221,3.5,15.666666666666666,2.6666666666666665,0.5,12,2,18,2.2222222222222223,15.0,6.333333333333333,9.0,1.5555555555555556,1.3333333333333333
306,Matchday 31,2025-04-13,,Getafe,Las Palmas,2,0,1,3,8,15,0.8888888888888888,12.5,3.1666666666666665,17.055555555555557,2.8333333333333335,0.3,6,8,27,1.2222222222222223,10.61111111111111,3.9444444444444446,11.944444444444445,2.7222222222222223,0.6666666666666666
307,Matchday 31,2025-04-13,,Valencia,Sevilla,5,3,5,2,9,26,0.7058823529411765,9.647058823529411,3.0,11.823529411764707,2.2941176470588234,0.25,6,8,27,1.2222222222222223,11.61111111111111,3.9444444444444446,11.833333333333334,2.6666666666666665,0.6666666666666666
308,Matchday 31,2025-04-13,,Sociedad,Mallorca,6,0,0,7,7,13,1.3888888888888888,10.777777777777779,3.7777777777777777,13.88888888888889,2.3333333333333335,0.7777777777777778,9,7,21,1.5789473684210527,10.052631578947368,3.5789473684210527,11.68421052631579,2.1578947368421053,1.0
309,Matchday 31,2025-04-13,,Celta,Espanol,4,0,6,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.7,4,11,30,0.8333333333333334,9.61111111111111,2.4444444444444446,14.0,2.7222222222222223,0.4444444444444444
310,Matchday 32,2025-04-20,,Barcelona,Celta,9,2,1,12,5,22,2.0,16.842105263157894,6.526315789473684,9.105263157894736,1.736842105263158,1.5,7,8,28,1.3333333333333333,11.38888888888889,4.277777777777778,11.11111111111111,2.4444444444444446,0.875
311,Matchday 32,2025-04-20,,Girona,Betis,1,3,0,7,7,25,1.3888888888888888,11.277777777777779,3.888888888888889,11.38888888888889,2.388888888888889,0.7777777777777778,6,5,22,1.3888888888888888,13.666666666666666,4.888888888888889,11.555555555555555,1.8888888888888888,0.6666666666666666
